"order_id","amountOfDays","comments","dateFinish","dateStart","auto_order_id","user_order_id"
"1","2","","2023-01-11","2023-01-09","1","1"
"2","1","","2023-01-31","2023-01-30","1","1"
"3","4","bring the car to the airport","2023-01-06","2023-01-02","2","1"
"4","2","","2023-01-11","2023-01-09","3","1"
"5","3","","2023-02-05","2023-02-02","3","1"
"6","2","","2023-01-28","2023-01-26","4","2"
"7","3","equip the car with a child car seat","2023-01-15","2023-01-12","4","2"
"8","1","","2022-12-28","2022-12-27","5","2"
"9","2","","2023-01-26","2023-01-24","5","2"
"10","7","","2023-02-06","2023-01-30","6","2"
